Institution,Site,Academic_Year,Term,ZIP_Code,Full_or_Part_Time,Headcount
SLCC,Draper,2020,2,84020,Part-Time,2
SLCC,Draper,2020,2,84070,Part-Time,1
SLCC,Draper,2020,2,84104,Part-Time,1
SLCC,Draper,2020,2,84107,Part-Time,1
SLCC,Draper,2020,2,84124,Part-Time,1
SLCC,Main Campus,2020,2,84003,Full-Time,11
SLCC,Main Campus,2020,2,84003,Part-Time,50
SLCC,Main Campus,2020,2,84004,Full-Time,5
SLCC,Main Campus,2020,2,84004,Part-Time,15
SLCC,Main Campus,2020,2,84005,Full-Time,5
SLCC,Main Campus,2020,2,84005,Part-Time,52
SLCC,Main Campus,2020,2,84006,Part-Time,4
SLCC,Main Campus,2020,2,84009,Full-Time,16
SLCC,Main Campus,2020,2,84009,Part-Time,233
SLCC,Main Campus,2020,2,84010,Full-Time,28
SLCC,Main Campus,2020,2,84010,Part-Time,174
SLCC,Main Campus,2020,2,84011,Part-Time,1
SLCC,Main Campus,2020,2,84013,Part-Time,5
SLCC,Main Campus,2020,2,84014,Full-Time,4
SLCC,Main Campus,2020,2,84014,Part-Time,52
SLCC,Main Campus,2020,2,84015,Full-Time,5
SLCC,Main Campus,2020,2,84015,Part-Time,44
SLCC,Main Campus,2020,2,84016,Part-Time,2
SLCC,Main Campus,2020,2,84017,Part-Time,15
SLCC,Main Campus,2020,2,84020,Full-Time,27
SLCC,Main Campus,2020,2,84020,Part-Time,251
SLCC,Main Campus,2020,2,84021,Part-Time,1
SLCC,Main Campus,2020,2,84025,Full-Time,13
SLCC,Main Campus,2020,2,84025,Part-Time,54
SLCC,Main Campus,2020,2,84029,Part-Time,26
SLCC,Main Campus,2020,2,84032,Full-Time,2
SLCC,Main Campus,2020,2,84032,Part-Time,22
SLCC,Main Campus,2020,2,84034,Part-Time,1
SLCC,Main Campus,2020,2,84036,Full-Time,2
SLCC,Main Campus,2020,2,84036,Part-Time,20
SLCC,Main Campus,2020,2,84037,Full-Time,7
SLCC,Main Campus,2020,2,84037,Part-Time,48
SLCC,Main Campus,2020,2,84040,Full-Time,6
SLCC,Main Campus,2020,2,84040,Part-Time,35
SLCC,Main Campus,2020,2,84041,Full-Time,4
SLCC,Main Campus,2020,2,84041,Part-Time,62
SLCC,Main Campus,2020,2,84042,Full-Time,1
SLCC,Main Campus,2020,2,84042,Part-Time,6
SLCC,Main Campus,2020,2,84043,Full-Time,18
SLCC,Main Campus,2020,2,84043,Part-Time,104
SLCC,Main Campus,2020,2,84044,Full-Time,26
SLCC,Main Campus,2020,2,84044,Part-Time,227
SLCC,Main Campus,2020,2,84045,Full-Time,2
SLCC,Main Campus,2020,2,84045,Part-Time,43
SLCC,Main Campus,2020,2,84046,Full-Time,1
SLCC,Main Campus,2020,2,84047,Full-Time,31
SLCC,Main Campus,2020,2,84047,Part-Time,282
SLCC,Main Campus,2020,2,84049,Full-Time,1
SLCC,Main Campus,2020,2,84049,Part-Time,3
SLCC,Main Campus,2020,2,84050,Full-Time,1
SLCC,Main Campus,2020,2,84050,Part-Time,4
SLCC,Main Campus,2020,2,84054,Full-Time,20
SLCC,Main Campus,2020,2,84054,Part-Time,103
SLCC,Main Campus,2020,2,84055,Full-Time,1
SLCC,Main Campus,2020,2,84055,Part-Time,3
SLCC,Main Campus,2020,2,84056,Part-Time,2
